"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.062104700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.544542200E-2,-9.589120746E-3,-1.181602478E-3,-2.273082733E-2,2.469894597E-2
2.008162000E-2,-4.637986422E-4,1.023039222E-3,2.633571625E-2,2.635965987E-2
2.481198400E-2,2.223668993E-2,-6.101757288E-3,9.694290161E-2,9.964751875E-2
2.954224500E-2,-2.129107714E-3,3.062829375E-3,1.541461945E-1,1.541913204E-1
3.427255700E-2,1.180949807E-2,3.659006208E-2,1.703414917E-1,1.746268040E-1
3.900281700E-2,2.060787380E-2,4.770044237E-2,2.423963547E-1,2.479032259E-1
4.373313000E-2,3.104995191E-2,2.065606415E-2,1.618356705E-1,1.660769603E-1
4.846339000E-2,6.695330143E-3,-9.436681867E-3,1.906356812E-1,1.909864952E-1
5.319370300E-2,-2.828729153E-2,-5.597065389E-2,2.081775665E-1,2.174184541E-1
5.792396300E-2,-1.932428777E-2,-1.392640173E-2,1.609754562E-1,1.627282098E-1
6.265427600E-2,-1.578456163E-2,1.796984673E-2,4.008960724E-2,4.668237768E-2
6.738453600E-2,-3.767043352E-3,4.317194223E-2,-1.065568924E-1,1.150320761E-1
7.211484900E-2,7.822811604E-4,3.580224514E-2,-1.033821106E-1,1.094087451E-1
7.684510900E-2,-1.510888338E-3,2.902822942E-2,1.776695251E-3,2.912177077E-2
8.157542200E-2,-2.156147361E-2,7.024824619E-3,1.542072296E-1,1.558656953E-1
8.630568200E-2,-1.129268110E-2,-3.395113349E-2,2.059412003E-1,2.090262713E-1
9.103599500E-2,-6.152957678E-3,-3.437639773E-2,1.651201248E-1,1.687727799E-1
9.576625500E-2,-2.405197918E-2,-2.579218149E-2,1.065597534E-1,1.122439993E-1
1.004965670E-1,-2.523779869E-2,-1.998260617E-2,1.239652634E-1,1.280766862E-1
1.052268280E-1,-1.500885189E-2,-1.447238028E-2,1.112279892E-1,1.131652818E-1
1.099571400E-1,-2.580863237E-2,6.715998054E-3,7.958412170E-3,2.783031547E-2
1.146874010E-1,-2.009034157E-2,-4.689842463E-4,-3.587532043E-2,4.112031599E-2
1.194177130E-1,-5.529463291E-3,-1.415325701E-2,3.212261200E-2,3.553521985E-2
1.241479740E-1,-9.964555502E-3,-6.694883108E-3,1.066446304E-1,1.073181766E-1
1.288782860E-1,-3.500641882E-2,-3.171806037E-2,1.738691330E-1,1.801720292E-1
1.336085470E-1,-4.071196914E-2,-5.606263876E-4,1.351737976E-1,1.411727109E-1
1.383388590E-1,-2.778401971E-2,2.714808285E-2,1.188097000E-1,1.249988599E-1
1.430691200E-1,-1.068904996E-2,3.083347529E-2,3.847408295E-2,5.045011443E-2
1.477994320E-1,-1.265385747E-2,2.983390540E-2,-7.152175903E-2,7.852097831E-2
1.525296920E-1,-3.018081188E-3,1.506118476E-2,3.499031067E-2,3.821347853E-2
1.572600050E-1,-3.546698391E-2,3.055348992E-3,1.057596207E-1,1.115900509E-1
1.619902650E-1,-1.998096704E-3,-4.024654627E-3,1.675262451E-1,1.675864942E-1
1.667205780E-1,-1.596480608E-2,-2.483542264E-2,9.757232666E-2,1.019413173E-1
1.714508380E-1,-3.949835896E-3,1.768723130E-2,6.456375122E-3,1.923861051E-2
1.761811510E-1,-1.494377851E-3,2.182205021E-2,-3.094577789E-2,3.789559618E-2
1.809114110E-1,-3.708153963E-3,3.287335485E-2,7.139205933E-3,3.384340595E-2
1.856417240E-1,2.203680575E-2,8.710041642E-3,1.627063751E-2,2.874403030E-2
1.903719840E-1,2.376756072E-2,1.493230462E-3,4.849529266E-2,5.402703111E-2
